Parameter,category,data_type,detected_unit,exclude_reason,formatting_errors,max,mean,median,merged_from,merged_into,min,n_nonnull,n_total,n_unique,no_variance,notes,only_in_group,original_name,original_unit,outliers_detected,q1,q3,recommended_action,too_few_data,unit_unknown,useful
Wapń całkowity (TCAL),Calcium,float64,,['N=2 < 10 - automatic exclusion'],False,10.3,9.925,9.925,[],,9.55,2,1331,2,False,"['Has 2 values, but 0 in Control', 'Only 2 non-null values']",PCOS,Wapń całkowity (TCAL),,False,9.7375,10.1125,exclude,True,False,False
Wapń zjonizowany (surowica) (L_CAZJS),Calcium,float64,,['N=1 < 10 - automatic exclusion'],False,1.25,1.25,1.25,[],,1.25,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,Wapń zjonizowany (surowica) (L_CAZJS),,False,1.25,1.25,exclude,True,False,False
Witamina D (25- hydroksywitamina D3) (WITD),Vitamin_D,str,,"['contains commas (Polish decimal) - 809 occurrences', 'contains special characters (>, <, ~) - 1 occurrences']",True,,,,[],,,809,1331,354,False,"['Has 809 values, but 0 in Control', 'Formatting errors: contains commas (Polish decimal) - 809 occurrences, contains special characters (>, <, ~) - 1 occurrences', 'Data cleaning decision needed: contains commas (Polish decimal) + contains special character ""<""', ""Problematic sample values: ['23,80', '13,00', '41,80', '17,90', '18,90']""]",PCOS,Witamina D (25- hydroksywitamina D3) (WITD),,False,,,decision_needed,False,False,True
Wolny testosteron (O41.W),Testosterone_Total,float64,nmol/L,['merged into testosterone_free_nmol_L'],False,15.66,2.8688888888888884,2.35,[],testosterone_free_nmol_L,0.12,189,1331,159,False,"['Has 189 values, but 0 in Control']",PCOS,Wolny testosteron (O41.W),,False,1.42,3.58,merged,False,False,False
Wymaz z kanału szyjki macicy - posiew mykologiczny (DAT-ZAK),Microbiology,str,,['N=2 < 10 - automatic exclusion'],False,,,,[],,,2,1331,2,False,"['Has 2 values, but 0 in Control', 'Only 2 non-null values']",PCOS,Wymaz z kanału szyjki macicy - posiew mykologiczny (DAT-ZAK),,False,,,exclude,True,False,False
Wymaz z kanału szyjki macicy - posiew mykologiczny (UWAGI),Microbiology,str,,['N=2 < 10 - automatic exclusion'],False,,,,[],,,2,1331,1,False,"['Has 2 values, but 0 in Control', 'Only 2 non-null values']",PCOS,Wymaz z kanału szyjki macicy - posiew mykologiczny (UWAGI),,False,,,exclude,True,False,False
Wymaz z kanału szyjki macicy - posiew mykologiczny (Wynik badania),Microbiology,float64,,['N=0 - completely empty column (no data)'],False,,,,[],,,0,1331,0,False,['No non-null values at all'],,Wymaz z kanału szyjki macicy - posiew mykologiczny (Wynik badania),,False,,,exclude,True,False,False
Wymaz z kanału szyjki macicy - posiew tlenowy (DAT-ZAK),Microbiology,str,,['N=2 < 10 - automatic exclusion'],False,,,,[],,,2,1331,2,False,"['Has 2 values, but 0 in Control', 'Only 2 non-null values']",PCOS,Wymaz z kanału szyjki macicy - posiew tlenowy (DAT-ZAK),,False,,,exclude,True,False,False
Wymaz z kanału szyjki macicy - posiew tlenowy (UWAGI),Microbiology,str,,['N=2 < 10 - automatic exclusion'],False,,,,[],,,2,1331,2,False,"['Has 2 values, but 0 in Control', 'Only 2 non-null values']",PCOS,Wymaz z kanału szyjki macicy - posiew tlenowy (UWAGI),,False,,,exclude,True,False,False
Wymaz z kanału szyjki macicy - posiew tlenowy (Wynik badania),Microbiology,float64,,['N=0 - completely empty column (no data)'],False,,,,[],,,0,1331,0,False,['No non-null values at all'],,Wymaz z kanału szyjki macicy - posiew tlenowy (Wynik badania),,False,,,exclude,True,False,False
