Parameter,category,data_type,detected_unit,exclude_reason,formatting_errors,max,mean,median,merged_from,merged_into,min,n_nonnull,n_total,n_unique,no_variance,notes,only_in_group,original_name,original_unit,outliers_detected,q1,q3,recommended_action,too_few_data,unit_unknown,useful
Wiek,Index,int64,,[],False,41.0,21.10067618332081,21.0,[],,16.0,1331,1331,21,False,[],,Wiek,,False,19.0,23.0,,False,False,True
group,Index,str,,[],False,,,,[],,,1331,1331,2,False,['Used as identifier/grouping variable'],,group,,False,,,keep_as_index,False,False,True
subject_id,Index,str,,[],False,,,,[],,,1331,1331,1331,False,['Used as identifier/grouping variable'],,subject_id,,False,,,keep_as_index,False,False,True
17 - OH progesteron (L79) (17-OHPG),Progesterone_17OHP,float64,ng/mL,['merged into 17ohp_baseline_ng_ml'],False,8.783333333333333,1.1826027633851468,0.99,[],17ohp_baseline_ng_ml,0.2,965,1331,248,False,"['Has 965 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → ng/mL']",PCOS,17 - OH progesteron (L79) (17-OHPG),,False,0.69,1.43,merged,False,False,False
17 OH progesteron (L79),Progesterone_17OHP,float64,ng/mL,['merged into 17ohp_baseline_ng_ml'],False,5.24,2.069249213836478,2.125,[],17ohp_baseline_ng_ml,0.14,212,1331,172,False,"['Has 212 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → ng/mL']",PCOS,17 OH progesteron (L79),,False,1.3575000000000002,2.745,merged,False,False,False
ALAT (ALT),ALT,float64,U/L,[],False,127.0,19.642395437262362,16.4,[],,5.0,263,1331,161,False,"['Has 263 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → U/L']",PCOS,ALAT (ALT),,False,12.95,22.0,,False,False,True
AMH (hormon anty-Mullerowski) (AMH_CP),AMH,float64,ng/mL,['merged into AMH_ng_ml'],False,27.8,6.406019467213114,5.715,[],AMH_ng_ml,0.01,976,1331,585,False,"['Has 976 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → ng/mL']",PCOS,AMH (hormon anty-Mullerowski) (AMH_CP),,False,3.78,8.405000000000001,merged,False,False,False
AMH ng/ml,AMH,float64,ng/mL,['merged into AMH_ng_ml'],False,9.43,3.4793333333333334,3.04,[],AMH_ng_ml,1.12,45,1331,44,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,AMH ng/ml,,False,1.89,4.76,merged,False,False,False
AMH-anty Mullerian Hormon (AMH),AMH,float64,ng/mL,['merged into AMH_ng_ml'],False,19.85,6.959455782312925,6.15,[],AMH_ng_ml,1.34,147,1331,139,False,"['Has 147 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → ng/mL']",PCOS,AMH-anty Mullerian Hormon (AMH),,False,4.359999999999999,8.515,merged,False,False,False
APTT Czas kaolinowo-kefalinowy (APTTCZ),PT_APTT,float64,,['N=5 < 10 - automatic exclusion'],False,39.4,34.54,34.1,[],,30.2,5,1331,5,False,"['Has 5 values, but 0 in Control', 'Only 5 non-null values']",PCOS,APTT Czas kaolinowo-kefalinowy (APTTCZ),,False,33.8,35.2,exclude,True,False,False
ASO - ilościowo (ASOIL),ASO,float64,,['N=1 < 10 - automatic exclusion'],False,9.0,9.0,9.0,[],,9.0,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,ASO - ilościowo (ASOIL),,False,9.0,9.0,exclude,True,False,False
ASPAT (AST),AST,float64,U/L,[],False,67.2,20.702851711026618,19.0,[],,11.3,263,1331,134,False,"['Has 263 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → U/L']",PCOS,ASPAT (AST),,False,16.55,22.55,,False,False,True
Androstendion (ANDRO),Androstenedione,float64,ng/mL,['merged into androstenedione_ng_ml'],False,5.06,1.614699413489736,1.47,[],androstenedione_ng_ml,0.29,682,1331,232,False,"['Has 682 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → ng/mL']",PCOS,Androstendion (ANDRO),,False,1.12,1.89,merged,False,False,False
Androstendion (I31),Androstenedione,float64,ng/mL,['merged into androstenedione_ng_ml'],False,9.67,3.372486772486773,3.05,[],androstenedione_ng_ml,0.87,189,1331,158,False,"['Has 189 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → ng/mL']",PCOS,Androstendion (I31),,False,2.22,4.07,merged,False,False,False
Androstendion (I31) (ANDRO),Androstenedione,float64,ng/mL,['merged into androstenedione_ng_ml'],False,7.94,2.6516078431372545,2.37,[],androstenedione_ng_ml,0.32,255,1331,176,False,"['Has 255 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → ng/mL']",PCOS,Androstendion (I31) (ANDRO),,False,1.9049999999999998,3.065,merged,False,False,False
Anty - HCV (L_ANTHCV),Anti_HCV,str,,['N=1 < 10 - automatic exclusion'],False,,,,[],,,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,Anty - HCV (L_ANTHCV),,False,,,exclude,True,False,False
Anty-TG (O18),Anti_TG,float64,,"['N=21 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=21 between 10-30)']",False,672.51,99.38809523809525,8.16,[],,0.47,21,1331,21,False,"['Has 21 values, but 0 in Control', 'Only 21 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,Anty-TG (O18),,False,4.54,117.08,exclude,True,False,False
Anty-TG (p/c przeciw tyreoglobulinie) (ATG),Anti_TG,float64,IU/mL,['merged into anti_tg_IU_mL'],False,1000.0,14.783818897637797,1.18,[],anti_tg_IU_mL,0.3,254,1331,179,False,"['Has 254 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → IU/mL']",PCOS,Anty-TG (p/c przeciw tyreoglobulinie) (ATG),,False,0.72,2.7525,merged,False,False,False
Anty-TPO (ATA_TPO),Anti_TPO,float64,IU/mL,[],False,600.0,23.989731543624163,10.33,[],,5.0,1043,1331,304,False,"['Has 1043 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → IU/mL']",PCOS,Anty-TPO (ATA_TPO),,False,9.0,14.3,,False,False,True
BMI kg/m2,Index,float64,,[],False,24.8,21.844465331482585,21.94,[],,18.5,45,1331,44,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,BMI kg/m2,,False,20.58,23.12,,False,False,True
Białko C-reaktywne (CRP),CRP,float64,,"['N=19 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=19 between 10-30)']",False,58.0,4.847368421052632,0.6,[],,0.1,19,1331,11,False,"['Has 19 values, but 0 in Control', 'Only 19 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,Białko C-reaktywne (CRP),,False,0.6,3.8499999999999996,exclude,True,False,False
Bilirubina całkowita (TBIL),Bilirubin,float64,mg/dL,[],False,1.67,0.6185526315789474,0.58,[],,0.18,76,1331,53,False,"['Has 76 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → mg/dL']",PCOS,Bilirubina całkowita (TBIL),,False,0.37,0.745,,False,False,True
CEA (CEA),CEA,float64,,['N=1 < 10 - automatic exclusion'],False,0.96,0.96,0.96,[],,0.96,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,CEA (CEA),,False,0.96,0.96,exclude,True,False,False
Ca125 (CA125),CA125,float64,U/mL,[],False,65.6,15.479024390243902,13.4,[],,4.67,41,1331,37,False,"['Has 41 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → U/mL']",PCOS,Ca125 (CA125),,False,10.1,16.3,,False,False,True
Ca19.9 (CA199),CA19_9,float64,,['N=1 < 10 - automatic exclusion'],False,25.7,25.7,25.7,[],,25.7,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,Ca19.9 (CA199),,False,25.7,25.7,exclude,True,False,False
Cholesterol całkowity (TCHOL),Cholesterol_Total,float64,mg/dL,[],False,345.0,167.16518391787852,165.0,[],,94.0,1169,1331,155,False,"['Has 1169 values, but 0 in Control']",PCOS,Cholesterol całkowity (TCHOL),,False,146.0,186.0,,False,False,True
D-dimery (DDIMER),D_Dimer,float64,,['N=2 < 10 - automatic exclusion'],False,247.0,243.0,243.0,[],,239.0,2,1331,2,False,"['Has 2 values, but 0 in Control', 'Only 2 non-null values']",PCOS,D-dimery (DDIMER),,False,241.0,245.0,exclude,True,False,False
DHEAS (DHEA),DHEAS,float64,μg/dL,['merged into dheas_ug_dL'],False,898.0,339.36793339026474,321.0,[],dheas_ug_dL,30.9,1171,1331,601,False,"['Has 1171 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → μg/dL']",PCOS,DHEAS (DHEA),,False,245.65,417.5,merged,False,False,False
DHEAS ug/dl,DHEAS,float64,μg/dL,['merged into dheas_ug_dL'],False,613.0,278.9111111111111,257.0,[],dheas_ug_dL,115.0,45,1331,40,False,"['Has 45 values, but 0 in PCOS', 'MANUAL CORRECTION: ug/dL → μg/dL (micro prefix normalized)']",Control_no_PCOS,DHEAS ug/dl,,False,208.0,330.0,merged,False,False,False
Dobowy rytm tolerancji glukozy (L_G1030),Glucose_OGTT,float64,,['N=7 < 10 - automatic exclusion'],False,140.0,113.42857142857143,122.0,[],,81.0,7,1331,7,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Dobowy rytm tolerancji glukozy (L_G1030),,False,101.0,124.5,exclude,True,False,False
Dobowy rytm tolerancji glukozy (L_G1200),Glucose_OGTT,float64,,['N=7 < 10 - automatic exclusion'],False,126.0,102.14285714285714,106.0,[],,76.0,7,1331,7,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Dobowy rytm tolerancji glukozy (L_G1200),,False,95.5,108.0,exclude,True,False,False
Dobowy rytm tolerancji glukozy (L_G1500),Glucose_OGTT,float64,,['N=7 < 10 - automatic exclusion'],False,139.0,105.14285714285714,101.0,[],,90.0,7,1331,7,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Dobowy rytm tolerancji glukozy (L_G1500),,False,93.5,109.5,exclude,True,False,False
Dobowy rytm tolerancji glukozy (L_G1800),Glucose_OGTT,float64,,['N=7 < 10 - automatic exclusion'],False,150.0,108.57142857142857,102.0,[],,81.0,7,1331,7,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Dobowy rytm tolerancji glukozy (L_G1800),,False,97.5,116.0,exclude,True,False,False
Dobowy rytm tolerancji glukozy (L_G2100),Glucose_OGTT,float64,,['N=7 < 10 - automatic exclusion'],False,124.0,111.57142857142857,110.0,[],,95.0,7,1331,7,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Dobowy rytm tolerancji glukozy (L_G2100),,False,108.5,117.5,exclude,True,False,False
Dobowy rytm tolerancji glukozy (L_G2400),Glucose_OGTT,float64,,['N=7 < 10 - automatic exclusion'],False,143.0,101.71428571428571,94.0,[],,90.0,7,1331,5,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Dobowy rytm tolerancji glukozy (L_G2400),,False,93.5,99.0,exclude,True,False,False
Dobowy rytm tolerancji glukozy (L_G330),Glucose_OGTT,float64,,['N=7 < 10 - automatic exclusion'],False,108.0,94.0,94.0,[],,82.0,7,1331,7,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Dobowy rytm tolerancji glukozy (L_G330),,False,89.5,97.5,exclude,True,False,False
Dobowy rytm tolerancji glukozy (L_G700),Glucose_OGTT,float64,,['N=7 < 10 - automatic exclusion'],False,104.0,93.0,91.0,[],,85.0,7,1331,7,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Dobowy rytm tolerancji glukozy (L_G700),,False,87.5,98.0,exclude,True,False,False
Dokument (NAZWA),Index,float64,,"['N=18 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=18 between 10-30)']",False,-6750108056676.0,-6750119303006.454,-6750109719197.75,[],,-6750133724207.0,18,1331,18,False,"['Has 18 values, but 0 in Control', 'Only 18 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,Dokument (NAZWA),,False,-6750133724201.166,-6750109119343.416,exclude,True,False,False
Estradiol (ESTRA),Estradiol,float64,pg/mL,[],False,76.9,27.64736842105263,22.8,[],,5.0,57,1331,47,False,"['Has 57 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → pg/mL']",PCOS,Estradiol (ESTRA),,False,9.2,39.5,,False,False,True
Estradiol (L_ESTRA),Estradiol,float64,pg/mL,[],False,129.4,41.84411764705882,36.95,[],,13.6,34,1331,33,False,"['Has 34 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → pg/mL']",PCOS,Estradiol (L_ESTRA),,False,25.625,53.925000000000004,,False,False,True
FSH (FSH),FSH,float64,IU/L,['merged into fsh_iu_l'],False,79.2,6.033651541095891,5.79,[],fsh_iu_l,0.62,1168,1331,509,False,"['Has 1168 values, but 0 in Control']",PCOS,FSH (FSH),,False,4.92,6.8825,merged,False,False,False
FSH 0' 30' 60' (L_FSH0),FSH,float64,,"['N=15 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=15 between 10-30)']",False,7.33,4.298666666666667,3.88,[],,1.82,15,1331,15,False,"['Has 15 values, but 0 in Control', 'Only 15 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,FSH 0' 30' 60' (L_FSH0),,False,2.895,5.645,exclude,True,False,False
FSH 0' 30' 60' (L_FSH30),FSH,float64,,"['N=15 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=15 between 10-30)']",False,15.5,9.373333333333333,9.83,[],,3.94,15,1331,15,False,"['Has 15 values, but 0 in Control', 'Only 15 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,FSH 0' 30' 60' (L_FSH30),,False,7.220000000000001,11.379999999999999,exclude,True,False,False
FSH 0' 30' 60' (L_FSH60),FSH,float64,,"['N=15 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=15 between 10-30)']",False,16.6,10.493333333333334,10.4,[],,3.95,15,1331,15,False,"['Has 15 values, but 0 in Control', 'Only 15 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,FSH 0' 30' 60' (L_FSH60),,False,8.085,13.059999999999999,exclude,True,False,False
FSH IU/l,FSH,float64,IU/L,['merged into fsh_iu_l'],False,13.2,6.62311111111111,6.5,[],fsh_iu_l,1.74,45,1331,43,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,FSH IU/l,,False,5.59,7.41,merged,False,False,False
FT3 (FT3),FT3,float64,,['N=6 < 10 - automatic exclusion'],False,8.02,3.733333333333333,2.955,[],,2.22,6,1331,5,False,"['Has 6 values, but 0 in Control', 'Only 6 non-null values']",PCOS,FT3 (FT3),,False,2.81,3.355,exclude,True,False,False
FT4 (FT4),FT4,float64,ng/dL,[],False,3.1,1.1882356469580118,1.18,[],,0.768,1167,1331,114,False,"['Has 1167 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → ng/dL']",PCOS,FT4 (FT4),,False,1.08,1.29,,False,False,True
Ferrytyna (FERR),Ferritin,float64,,['N=2 < 10 - automatic exclusion'],False,61.9,36.8,36.8,[],,11.7,2,1331,2,False,"['Has 2 values, but 0 in Control', 'Only 2 non-null values']",PCOS,Ferrytyna (FERR),,False,24.25,49.349999999999994,exclude,True,False,False
Ferrytyna (L05),Ferritin,float64,,['N=1 < 10 - automatic exclusion'],False,42.59,42.59,42.59,[],,42.59,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,Ferrytyna (L05),,False,42.59,42.59,exclude,True,False,False
Fibrynogen (L_FIB),Fibrinogen,float64,,['N=3 < 10 - automatic exclusion'],False,326.0,274.0,252.0,[],,244.0,3,1331,3,False,"['Has 3 values, but 0 in Control', 'Only 3 non-null values']",PCOS,Fibrynogen (L_FIB),,False,248.0,289.0,exclude,True,False,False
Fosforany nieorganiczne (FOSFOR),Phosphate,float64,,['N=2 < 10 - automatic exclusion'],False,4.05,3.985,3.985,[],,3.92,2,1331,2,False,"['Has 2 values, but 0 in Control', 'Only 2 non-null values']",PCOS,Fosforany nieorganiczne (FOSFOR),,False,3.9524999999999997,4.0175,exclude,True,False,False
GH (hormon wzrostu) (L_GH),GH,float64,,['N=1 < 10 - automatic exclusion'],False,0.278,0.278,0.278,[],,0.278,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,GH (hormon wzrostu) (L_GH),,False,0.278,0.278,exclude,True,False,False
Gamma Glutamylotranspeptydaza (GGTP),GGT,float64,U/L,[],False,71.8,15.506753246753247,13.3,[],,6.0,77,1331,58,False,"['Has 77 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → U/L']",PCOS,Gamma Glutamylotranspeptydaza (GGTP),,False,10.6,17.6,,False,False,True
Glukoza (L_GLU),Glucose_Fasting,float64,,['N=2 < 10 - automatic exclusion'],False,97.0,87.95,87.95,[],,78.9,2,1331,2,False,"['Has 2 values, but 0 in Control', 'Only 2 non-null values']",PCOS,Glukoza (L_GLU),,False,83.42500000000001,92.475,exclude,True,False,False
"Grypa A, B, RSV, SARS-CoV2 antygen - badanie jakościowe (COV2_G)",Virology,str,,['N=1 < 10 - automatic exclusion'],False,,,,[],,,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,"Grypa A, B, RSV, SARS-CoV2 antygen - badanie jakościowe (COV2_G)",,False,,,exclude,True,False,False
"Grypa A, B, RSV, SARS-CoV2 antygen - badanie jakościowe (GRYA)",Virology,str,,['N=1 < 10 - automatic exclusion'],False,,,,[],,,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,"Grypa A, B, RSV, SARS-CoV2 antygen - badanie jakościowe (GRYA)",,False,,,exclude,True,False,False
"Grypa A, B, RSV, SARS-CoV2 antygen - badanie jakościowe (GRYB)",Virology,str,,['N=1 < 10 - automatic exclusion'],False,,,,[],,,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,"Grypa A, B, RSV, SARS-CoV2 antygen - badanie jakościowe (GRYB)",,False,,,exclude,True,False,False
"Grypa A, B, RSV, SARS-CoV2 antygen - badanie jakościowe (GRYRSV)",Virology,str,,['N=1 < 10 - automatic exclusion'],False,,,,[],,,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,"Grypa A, B, RSV, SARS-CoV2 antygen - badanie jakościowe (GRYRSV)",,False,,,exclude,True,False,False
HBSAG (L_HBSAG),HBsAg,str,,['no variance - only 1 unique value (constant: ujemny)'],False,,,,[],,,51,1331,1,True,"['Has 51 values, but 0 in Control']",PCOS,HBSAG (L_HBSAG),,False,,,exclude,False,False,False
HBsAg (L_HBSAG),HBsAg,str,,[],False,,,,[],,,1113,1331,2,False,"['Has 1113 values, but 0 in Control', ""low variance - only 2 unique values: ['Niereaktywny', 'ujemny']"", 'Manual review: two unique values (""Niereaktywny"" and ""ujemny"") both mean ""negative"". No positive cases detected. Column can be kept as binary flag or consolidated to a single value.']",PCOS,HBsAg (L_HBSAG),,False,,,keep_or_consolidate,False,False,True
HDL cholesterol (HDL),HDL,float64,mg/dL,[],False,174.0,57.99307100085543,56.8,[],,22.5,1169,1331,461,False,"['Has 1169 values, but 0 in Control']",PCOS,HDL cholesterol (HDL),,False,48.0,66.1,,False,False,True
HbsAg (HBSAG),HBsAg,str,,['N=3 < 10 - automatic exclusion'],False,,,,[],,,3,1331,1,False,"['Has 3 values, but 0 in Control', 'Only 3 non-null values']",PCOS,HbsAg (HBSAG),,False,,,exclude,True,False,False
Hemoglobina glikowana (HBA1C_1),HbA1c,float64,,"['N=23 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=23 between 10-30)']",False,8.94,5.796086956521739,5.43,[],,4.65,23,1331,22,False,"['Has 23 values, but 0 in Control', 'Only 23 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,Hemoglobina glikowana (HBA1C_1),,False,5.23,6.0649999999999995,exclude,True,False,False
Hemoglobina glikowana (HBA1C_2),HbA1c,float64,,"['N=23 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=23 between 10-30)']",False,74.2,39.84347826086957,35.8,[],,27.3,23,1331,22,False,"['Has 23 values, but 0 in Control', 'Only 23 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,Hemoglobina glikowana (HBA1C_2),,False,33.65,42.8,exclude,True,False,False
Hemoglobina glikowana (L53.IFC),HbA1c,float64,,['N=4 < 10 - automatic exclusion'],False,71.0,55.5,54.5,[],,42.0,4,1331,4,False,"['Has 4 values, but 0 in Control', 'Only 4 non-null values']",PCOS,Hemoglobina glikowana (L53.IFC),,False,45.75,64.25,exclude,True,False,False
Hemoglobina glikowana (L55),HbA1c,float64,,['N=4 < 10 - automatic exclusion'],False,8.6,7.225,7.15,[],,6.0,4,1331,4,False,"['Has 4 values, but 0 in Control', 'Only 4 non-null values']",PCOS,Hemoglobina glikowana (L55),,False,6.375,8.0,exclude,True,False,False
IGF-1 (insulinopodobny czynnik wzrostu 1) (IGF1_L),IGF1,float64,,['N=1 < 10 - automatic exclusion'],False,112.8,112.8,112.8,[],,112.8,1,1331,1,False,"['Has 1 values, but 0 in Control', 'MANUAL CORRECTION: changed from Insulin_Fasting to IGF1', 'Only 1 non-null values']",PCOS,IGF-1 (insulinopodobny czynnik wzrostu 1) (IGF1_L),,False,112.8,112.8,exclude,True,False,False
Insulina (INSUL),Insulin_Fasting,float64,μU/mL,['merged into insulin_fasting_uU_ml'],False,51.5,8.737809139784947,7.02,[],insulin_fasting_uU_ml,0.4,744,1331,471,False,"['Has 744 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,Insulina (INSUL),,False,5.07,10.325000000000001,merged,False,False,False
Insulina po 75g glukozy (3pkt.) (INSUL_0),Insulin_Fasting,float64,μU/mL,['merged into insulin_fasting_uU_ml'],False,98.2,10.517207207207205,8.295,[],insulin_fasting_uU_ml,1.77,222,1331,181,False,"['Has 222 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,Insulina po 75g glukozy (3pkt.) (INSUL_0),,False,6.195,11.875,merged,False,False,False
Insulina po 75g glukozy (3pkt.) (INSUL_1),Insulin_Fasting,float64,μU/mL,['merged into insulin_60min_3pt_uU_ml'],False,464.0,83.66723981900452,72.8,[],insulin_60min_3pt_uU_ml,8.25,221,1331,185,False,"['Has 221 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,Insulina po 75g glukozy (3pkt.) (INSUL_1),,False,50.4,101.0,merged,False,False,False
Insulina po 75g glukozy (3pkt.) (INSUL_2),Insulin_Fasting,float64,μU/mL,['merged into insulin_120min_3pt_uU_ml'],False,435.0,74.96117647058823,60.6,[],insulin_120min_3pt_uU_ml,6.51,221,1331,194,False,"['Has 221 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,Insulina po 75g glukozy (3pkt.) (INSUL_2),,False,35.5,101.0,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 0m)",Insulin_Fasting,float64,μU/mL,['merged into insulin_fasting_uU_ml'],False,27.8,7.821686746987952,6.6,[],insulin_fasting_uU_ml,1.8,83,1331,62,False,"['Has 83 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 0m)",,False,4.75,9.6,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 120m)",Insulin_Fasting,float64,μU/mL,['merged into insulin_120min_4pt_uU_ml'],False,239.5,47.93012048192771,32.6,[],insulin_120min_4pt_uU_ml,8.6,83,1331,75,False,"['Has 83 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 120m)",,False,19.7,55.0,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 30m)",Insulin_Fasting,float64,μU/mL,['merged into insulin_30min_uU_ml'],False,347.1,59.01445783132531,46.7,[],insulin_30min_uU_ml,7.5,83,1331,81,False,"['Has 83 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 30m)",,False,32.65,66.35,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 60m)",Insulin_Fasting,float64,μU/mL,['merged into insulin_60min_4pt_uU_ml'],False,299.3,52.8867469879518,36.0,[],insulin_60min_4pt_uU_ml,9.0,83,1331,79,False,"['Has 83 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 60m)",,False,23.75,57.15,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_0)",Insulin_Fasting,float64,μU/mL,['merged into insulin_fasting_uU_ml'],False,21.1,6.70483870967742,6.25,[],insulin_fasting_uU_ml,1.9,62,1331,45,False,"['Has 62 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_0)",,False,3.9,7.45,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_1)",Insulin_Fasting,float64,μU/mL,['merged into insulin_30min_uU_ml'],False,250.6,56.29016393442623,42.0,[],insulin_30min_uU_ml,3.2,61,1331,60,False,"['Has 61 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_1)",,False,29.4,73.2,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_2)",Insulin_Fasting,float64,μU/mL,['merged into insulin_60min_4pt_uU_ml'],False,203.1,49.777419354838706,35.5,[],insulin_60min_4pt_uU_ml,8.6,62,1331,62,False,"['Has 62 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_2)",,False,26.525,60.5,merged,False,False,False
"Jonogram (Sód, potas, chlorki) (L_CI)",Electrolytes,float64,mmol/L,[],False,108.7,103.90476190476193,103.95,[],,99.3,84,1331,48,False,"['Has 84 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → mmol/L']",PCOS,"Jonogram (Sód, potas, chlorki) (L_CI)",,False,102.875,105.225,,False,False,True
"Jonogram (Sód, potas, chlorki) (L_K)",Electrolytes,float64,mmol/L,[],False,5.27,4.516904761904762,4.555,[],,3.58,84,1331,65,False,"['Has 84 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → mmol/L']",PCOS,"Jonogram (Sód, potas, chlorki) (L_K)",,False,4.275,4.8025,,False,False,True
"Jonogram (Sód, potas, chlorki) (L_NA)",Electrolytes,float64,mmol/L,[],False,145.0,140.06785714285715,140.14999999999998,[],,135.1,84,1331,50,False,"['Has 84 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → mmol/L']",PCOS,"Jonogram (Sód, potas, chlorki) (L_NA)",,False,138.9,141.3,,False,False,True
